Date,Month Abbr,State,Number of Flights,Daily Positve Increase,Daily Death Increase,Expected Positives
8/10/2020,Aug,Arizona,474,600,4,985.8602
8/10/2020,Aug,California,1940,7751,66,3759.3856
8/10/2020,Aug,Colorado,892,336,0,1776.6744
8/10/2020,Aug,Florida,956,4155,93,1897.756
8/10/2020,Aug,Georgia,1863,2429,30,3613.7093
8/10/2020,Aug,Illinois,1440,1319,1,2813.4356
8/10/2020,Aug,Maryland,264,755,6,588.5612
8/10/2020,Aug,Massachuttces,366,275,6,781.535
8/10/2020,Aug,Michigan,656,580,7,1330.186
8/10/2020,Aug,Minniesota,496,618,3,1027.482
8/10/2020,Aug,Nevada,433,742,6,908.2923
8/10/2020,Aug,New Jersey,418,258,4,879.9138
8/10/2020,Aug,New York,883,476,2,1759.6473
8/10/2020,Aug,North Carolina,584,626,4,1193.9692
8/10/2020,Aug,Pennsylvania,403,601,3,851.5353
8/10/2020,Aug,Texas,2371,4455,31,4574.7945
8/10/2020,Aug,Utah,453,263,9,946.1303
8/10/2020,Aug,Washington,706,803,0,1424.781
8/11/2020,Aug,Arizona,438,1214,45,917.7518
8/11/2020,Aug,California,1831,12500,109,3553.1685
8/11/2020,Aug,Colorado,811,379,10,1623.4305
8/11/2020,Aug,Florida,804,5831,277,1610.1872
8/11/2020,Aug,Georgia,1810,3563,122,3513.4386
8/11/2020,Aug,Illinois,1591,1549,20,3099.1125
8/11/2020,Aug,Maryland,267,585,13,594.2369
8/11/2020,Aug,Massachuttces,344,392,10,739.9132
8/11/2020,Aug,Michigan,565,907,7,1158.0231
8/11/2020,Aug,Minniesota,477,323,6,991.5359
8/11/2020,Aug,Nevada,356,548,18,762.616
8/11/2020,Aug,New Jersey,371,444,12,790.9945
8/11/2020,Aug,New York,777,667,7,1559.1059
8/11/2020,Aug,North Carolina,450,1051,32,940.4546
8/11/2020,Aug,Pennsylvania,352,828,35,755.0484
8/11/2020,Aug,Texas,2050,9803,220,3967.4946
8/11/2020,Aug,Utah,441,362,4,923.4275
8/11/2020,Aug,Washington,697,683,9,1407.7539
8/12/2020,Aug,Arizona,438,706,148,917.7518
8/12/2020,Aug,California,1828,11645,180,3547.4928
8/12/2020,Aug,Colorado,807,402,5,1615.8629
8/12/2020,Aug,Florida,824,8109,213,1648.0252
8/12/2020,Aug,Georgia,1927,3565,105,3734.7909
8/12/2020,Aug,Illinois,1865,1645,15,3617.4931
8/12/2020,Aug,Maryland,243,541,8,548.8313
8/12/2020,Aug,Massachuttces,371,293,18,790.9945
8/12/2020,Aug,Michigan,619,476,6,1260.1857
8/12/2020,Aug,Minniesota,491,464,17,1018.0225
8/12/2020,Aug,Nevada,385,528,15,817.4811
8/12/2020,Aug,New Jersey,408,463,11,860.9948
8/12/2020,Aug,New York,832,700,7,1663.1604
8/12/2020,Aug,North Carolina,455,1166,45,949.9141
8/12/2020,Aug,Pennsylvania,335,849,33,722.8861
8/12/2020,Aug,Texas,2142,6200,324,4141.5494
8/12/2020,Aug,Utah,450,338,2,940.4546
8/12/2020,Aug,Washington,676,601,19,1368.024
8/13/2020,Aug,Arizona,502,1351,36,1038.8334
8/13/2020,Aug,California,1986,7085,160,3846.413
8/13/2020,Aug,Colorado,930,315,5,1848.5666
8/13/2020,Aug,Florida,977,6236,149,1937.4859
8/13/2020,Aug,Georgia,1999,2515,82,3871.0077
8/13/2020,Aug,Illinois,1812,1834,24,3517.2224
8/13/2020,Aug,Maryland,281,776,8,620.7235
8/13/2020,Aug,Massachuttces,463,319,21,965.0493
8/13/2020,Aug,Michigan,664,1167,16,1345.3212
8/13/2020,Aug,Minniesota,519,690,7,1070.9957
8/13/2020,Aug,Nevada,474,602,34,985.8602
8/13/2020,Aug,New Jersey,421,656,8,885.5895
8/13/2020,Aug,New York,973,737,10,1929.9183
8/13/2020,Aug,North Carolina,598,1763,38,1220.4558
8/13/2020,Aug,Pennsylvania,434,991,24,910.1842
8/13/2020,Aug,Texas,2339,6755,255,4514.2537
8/13/2020,Aug,Utah,476,334,2,989.644
8/13/2020,Aug,Washington,738,606,8,1485.3218
8/14/2020,Aug,Arizona,491,927,40,1018.0225
8/14/2020,Aug,California,2023,7934,188,3916.4133
8/14/2020,Aug,Colorado,940,463,7,1867.4856
8/14/2020,Aug,Florida,926,6148,229,1840.999
8/14/2020,Aug,Georgia,2230,3227,35,4308.0366
8/14/2020,Aug,Illinois,1890,2296,27,3664.7906
8/14/2020,Aug,Maryland,297,715,11,650.9939
8/14/2020,Aug,Massachuttces,439,212,14,919.6437
8/14/2020,Aug,Michigan,677,868,11,1369.9159
8/14/2020,Aug,Minniesota,506,730,8,1046.401
8/14/2020,Aug,Nevada,481,1099,15,999.1035
8/14/2020,Aug,New Jersey,475,570,10,987.7521
8/14/2020,Aug,New York,923,727,4,1835.3233
8/14/2020,Aug,North Carolina,602,1346,26,1228.0234
8/14/2020,Aug,Pennsylvania,403,829,36,851.5353
8/14/2020,Aug,Texas,2365,7018,313,4563.4431
8/14/2020,Aug,Utah,463,552,7,965.0493
8/14/2020,Aug,Washington,729,623,12,1468.2947
8/15/2020,Aug,Arizona,446,933,69,932.887
8/15/2020,Aug,California,1897,12614,151,3678.0339
8/15/2020,Aug,Colorado,844,319,5,1685.8632
8/15/2020,Aug,Florida,890,6352,204,1772.8906
8/15/2020,Aug,Georgia,2000,3273,96,3872.8996
8/15/2020,Aug,Illinois,1822,1828,5,3536.1414
8/15/2020,Aug,Maryland,268,818,5,596.1288
8/15/2020,Aug,Massachuttces,405,366,14,855.3191
8/15/2020,Aug,Michigan,614,1058,20,1250.7262
8/15/2020,Aug,Minniesota,489,690,6,1014.2387
8/15/2020,Aug,Nevada,410,859,24,864.7786
8/15/2020,Aug,New Jersey,449,278,9,938.5627
8/15/2020,Aug,New York,887,734,12,1767.2149
8/15/2020,Aug,North Carolina,598,1536,30,1220.4558
8/15/2020,Aug,Pennsylvania,339,850,20,730.4537
8/15/2020,Aug,Texas,2281,8245,238,4404.5235
8/15/2020,Aug,Utah,433,345,3,908.2923
8/15/2020,Aug,Washington,732,345,19,1473.9704
8/16/2020,Aug,Arizona,460,883,14,959.3736
8/16/2020,Aug,California,2002,7873,77,3876.6834
8/16/2020,Aug,Colorado,888,300,0,1769.1068
8/16/2020,Aug,Florida,909,3779,107,1808.8367
8/16/2020,Aug,Georgia,2151,1862,33,4158.5765
8/16/2020,Aug,Illinois,1909,1562,18,3700.7367
8/16/2020,Aug,Maryland,281,519,3,620.7235
8/16/2020,Aug,Massachuttces,465,303,11,968.8331
8/16/2020,Aug,Michigan,665,477,6,1347.2131
8/16/2020,Aug,Minniesota,500,739,7,1035.0496
8/16/2020,Aug,Nevada,496,697,3,1027.482
8/16/2020,Aug,New Jersey,524,13,2,1080.4552
8/16/2020,Aug,New York,964,607,6,1912.8912
8/16/2020,Aug,North Carolina,603,1246,4,1229.9153
8/16/2020,Aug,Pennsylvania,388,660,3,823.1568
8/16/2020,Aug,Texas,2098,6744,143,4058.3058
8/16/2020,Aug,Utah,439,331,0,919.6437
8/16/2020,Aug,Washington,713,150,11,1438.0243
8/17/2020,Aug,Arizona,457,468,0,953.6979
8/17/2020,Aug,California,1943,6469,18,3765.0613
8/17/2020,Aug,Colorado,930,338,0,1848.5666
8/17/2020,Aug,Florida,892,2678,87,1776.6744
8/17/2020,Aug,Georgia,2167,1831,25,4188.8469
8/17/2020,Aug,Illinois,2019,1773,12,3908.8457
8/17/2020,Aug,Maryland,278,503,2,615.0478
8/17/2020,Aug,Massachuttces,414,213,4,872.3462
8/17/2020,Aug,Michigan,664,490,0,1345.3212
8/17/2020,Aug,Minniesota,519,564,6,1070.9957
8/17/2020,Aug,Nevada,472,662,5,982.0764
8/17/2020,Aug,New Jersey,467,312,4,972.6169
8/17/2020,Aug,New York,884,408,6,1761.5392
8/17/2020,Aug,North Carolina,601,564,1,1226.1315
8/17/2020,Aug,Pennsylvania,427,384,0,896.9409
8/17/2020,Aug,Texas,2214,7368,51,4277.7662
8/17/2020,Aug,Utah,468,242,1,974.5088
8/17/2020,Aug,Washington,678,640,15,1371.8078
8/18/2020,Aug,Arizona,449,915,23,938.5627
8/18/2020,Aug,California,1850,4636,100,3589.1146
8/18/2020,Aug,Colorado,830,194,10,1659.3766
8/18/2020,Aug,Florida,781,3838,219,1566.6735
8/18/2020,Aug,Georgia,1829,2816,67,3549.3847
8/18/2020,Aug,Illinois,1621,1740,26,3155.8695
8/18/2020,Aug,Maryland,273,520,9,605.5883
8/18/2020,Aug,Massachuttces,355,175,6,760.7241
8/18/2020,Aug,Michigan,582,654,16,1190.1854
8/18/2020,Aug,Minniesota,472,345,9,982.0764
8/18/2020,Aug,Nevada,369,672,25,787.2107
8/18/2020,Aug,New Jersey,434,331,10,910.1842
8/18/2020,Aug,New York,737,655,8,1483.4299
8/18/2020,Aug,North Carolina,456,1263,48,951.806
8/18/2020,Aug,Pennsylvania,350,735,31,751.2646
8/18/2020,Aug,Texas,2054,7282,216,3975.0622
8/18/2020,Aug,Utah,428,263,5,898.8328
8/18/2020,Aug,Washington,698,598,4,1409.6458
8/19/2020,Aug,Arizona,444,637,105,929.1032
8/19/2020,Aug,California,1842,6164,181,3573.9794
8/19/2020,Aug,Colorado,838,261,10,1674.5118
8/19/2020,Aug,Florida,807,4115,174,1615.8629
8/19/2020,Aug,Georgia,1800,2305,55,3494.5196
8/19/2020,Aug,Illinois,1910,2295,24,3702.6286
8/19/2020,Aug,Maryland,264,414,11,588.5612
8/19/2020,Aug,Massachuttces,394,827,37,834.5082
8/19/2020,Aug,Michigan,624,688,10,1269.6452
8/19/2020,Aug,Minniesota,477,557,17,991.5359
8/19/2020,Aug,Nevada,376,389,32,800.454
8/19/2020,Aug,New Jersey,462,329,11,963.1574
8/19/2020,Aug,New York,785,631,6,1574.2411
8/19/2020,Aug,North Carolina,473,1153,35,983.9683
8/19/2020,Aug,Pennsylvania,361,570,24,772.0755
8/19/2020,Aug,Texas,2188,7024,309,4228.5768
8/19/2020,Aug,Utah,437,364,8,915.8599
8/19/2020,Aug,Washington,673,563,24,1362.3483
8/20/2020,Aug,Arizona,484,723,50,1004.7792
8/20/2020,Aug,California,1974,5920,163,3823.7102
8/20/2020,Aug,Colorado,933,270,12,1854.2423
8/20/2020,Aug,Florida,982,4555,119,1946.9454
8/20/2020,Aug,Georgia,1972,2759,55,3819.9264
8/20/2020,Aug,Illinois,1833,1832,27,3556.9523
8/20/2020,Aug,Maryland,290,580,8,637.7506
8/20/2020,Aug,Massachuttces,432,313,12,906.4004
8/20/2020,Aug,Michigan,683,527,16,1381.2673
8/20/2020,Aug,Minniesota,516,690,7,1065.32
8/20/2020,Aug,Nevada,467,556,38,972.6169
8/20/2020,Aug,New Jersey,484,100,6,1004.7792
8/20/2020,Aug,New York,923,601,5,1835.3233
8/20/2020,Aug,North Carolina,644,1972,34,1307.4832
8/20/2020,Aug,Pennsylvania,457,791,15,953.6979
8/20/2020,Aug,Texas,2446,5303,234,4716.687
8/20/2020,Aug,Utah,477,461,4,991.5359
8/20/2020,Aug,Washington,740,443,13,1489.1056
8/21/2020,Aug,Arizona,501,619,4,1036.9415
8/21/2020,Aug,California,2061,5585,135,3988.3055
8/21/2020,Aug,Colorado,939,329,15,1865.5937
8/21/2020,Aug,Florida,953,4684,118,1892.0803
8/21/2020,Aug,Georgia,2234,2889,94,4315.6042
8/21/2020,Aug,Illinois,1937,2293,22,3753.7099
8/21/2020,Aug,Maryland,287,670,5,632.0749
8/21/2020,Aug,Massachuttces,473,488,13,983.9683
8/21/2020,Aug,Michigan,676,0,0,1368.024
8/21/2020,Aug,Minniesota,519,825,8,1070.9957
8/21/2020,Aug,Nevada,459,849,13,957.4817
8/21/2020,Aug,New Jersey,522,290,9,1076.6714
8/21/2020,Aug,New York,895,709,3,1782.3501
8/21/2020,Aug,North Carolina,646,2008,29,1311.267
8/21/2020,Aug,Pennsylvania,420,693,20,883.6976
8/21/2020,Aug,Texas,2436,5021,258,4697.768
8/21/2020,Aug,Utah,469,463,2,976.4007
8/21/2020,Aug,Washington,731,441,15,1472.0785
8/22/2020,Aug,Arizona,451,996,68,942.3465
8/22/2020,Aug,California,1903,6556,167,3689.3853
8/22/2020,Aug,Colorado,853,356,0,1702.8903
8/22/2020,Aug,Florida,930,4311,107,1848.5666
8/22/2020,Aug,Georgia,1982,2592,94,3838.8454
8/22/2020,Aug,Illinois,1845,2356,17,3579.6551
8/22/2020,Aug,Maryland,263,624,11,586.6693
8/22/2020,Aug,Massachuttces,399,144,20,843.9677
8/22/2020,Aug,Michigan,612,1426,21,1246.9424
8/22/2020,Aug,Minniesota,474,734,8,985.8602
8/22/2020,Aug,Nevada,401,636,12,847.7515
8/22/2020,Aug,New Jersey,459,419,2,957.4817
8/22/2020,Aug,New York,854,653,4,1704.7822
8/22/2020,Aug,North Carolina,635,1729,27,1290.4561
8/22/2020,Aug,Pennsylvania,350,796,18,751.2646
8/22/2020,Aug,Texas,2310,5559,215,4459.3886
8/22/2020,Aug,Utah,450,369,2,940.4546
8/22/2020,Aug,Washington,722,184,13,1455.0514
8/23/2020,Aug,Arizona,463,208,15,965.0493
8/23/2020,Aug,California,2020,6777,146,3910.7376
8/23/2020,Aug,Colorado,864,297,0,1723.7012
8/23/2020,Aug,Florida,885,2974,51,1763.4311
8/23/2020,Aug,Georgia,2196,1727,40,4243.712
8/23/2020,Aug,Illinois,1910,1893,6,3702.6286
8/23/2020,Aug,Maryland,282,579,6,622.6154
8/23/2020,Aug,Massachuttces,453,0,0,946.1303
8/23/2020,Aug,Michigan,676,764,4,1368.024
8/23/2020,Aug,Minniesota,501,717,6,1036.9415
8/23/2020,Aug,Nevada,487,532,0,1010.4549
8/23/2020,Aug,New Jersey,517,258,3,1067.2119
8/23/2020,Aug,New York,917,572,6,1823.9719
8/23/2020,Aug,North Carolina,635,1472,10,1290.4561
8/23/2020,Aug,Pennsylvania,396,619,2,838.292
8/23/2020,Aug,Texas,2385,4398,104,4601.2811
8/23/2020,Aug,Utah,434,301,0,910.1842
8/23/2020,Aug,Washington,708,61,7,1428.5648
8/24/2020,Aug,Arizona,494,311,0,1023.6982
8/24/2020,Aug,California,1998,4946,18,3869.1158
8/24/2020,Aug,Colorado,941,260,0,1869.3775
8/24/2020,Aug,Florida,917,2258,72,1823.9719
8/24/2020,Aug,Georgia,2166,2304,24,4186.955
8/24/2020,Aug,Illinois,2060,1612,8,3986.4136
8/24/2020,Aug,Maryland,281,567,3,620.7235
8/24/2020,Aug,Massachuttces,428,662,27,898.8328
8/24/2020,Aug,Michigan,674,878,4,1364.2402
8/24/2020,Aug,Minniesota,509,714,4,1052.0767
8/24/2020,Aug,Nevada,460,409,3,959.3736
8/24/2020,Aug,New Jersey,475,225,3,987.7521
8/24/2020,Aug,New York,860,408,7,1716.1336
8/24/2020,Aug,North Carolina,640,1283,4,1299.9156
8/24/2020,Aug,Pennsylvania,418,426,1,879.9138
8/24/2020,Aug,Texas,2414,2847,25,4656.1462
8/24/2020,Aug,Utah,468,249,5,974.5088
8/24/2020,Aug,Washington,686,22,6,1386.943
8/25/2020,Aug,Arizona,450,859,21,940.4546
8/25/2020,Aug,California,1852,4480,105,3592.8984
8/25/2020,Aug,Colorado,839,198,9,1676.4037
8/25/2020,Aug,Florida,818,2673,183,1636.6738
8/25/2020,Aug,Georgia,1816,2101,106,3524.79
8/25/2020,Aug,Illinois,1622,1680,29,3157.7614
8/25/2020,Aug,Maryland,254,377,13,569.6422
8/25/2020,Aug,Massachuttces,351,398,12,753.1565
8/25/2020,Aug,Michigan,583,951,21,1192.0773
8/25/2020,Aug,Minniesota,471,409,8,980.1845
8/25/2020,Aug,Nevada,368,403,30,785.3188
8/25/2020,Aug,New Jersey,423,302,4,889.3733
8/25/2020,Aug,New York,757,629,2,1521.2679
8/25/2020,Aug,North Carolina,473,1345,35,983.9683
8/25/2020,Aug,Pennsylvania,361,561,26,772.0755
8/25/2020,Aug,Texas,2030,6346,181,3929.6566
8/25/2020,Aug,Utah,427,403,7,896.9409
8/25/2020,Aug,Washington,695,0,4,1403.9701
8/26/2020,Aug,Arizona,446,186,104,932.887
8/26/2020,Aug,California,1829,6004,150,3549.3847
8/26/2020,Aug,Colorado,782,459,2,1568.5654
8/26/2020,Aug,Florida,800,3220,155,1602.6196
8/26/2020,Aug,Georgia,1936,2236,49,3751.818
8/26/2020,Aug,Illinois,1821,2157,37,3534.2495
8/26/2020,Aug,Maryland,263,440,10,586.6693
8/26/2020,Aug,Massachuttces,376,336,27,800.454
8/26/2020,Aug,Michigan,611,843,6,1245.0505
8/26/2020,Aug,Minniesota,470,529,17,978.2926
8/26/2020,Aug,Nevada,377,253,20,802.3459
8/26/2020,Aug,New Jersey,468,285,10,974.5088
8/26/2020,Aug,New York,767,566,8,1540.1869
8/26/2020,Aug,North Carolina,485,1244,36,1006.6711
8/26/2020,Aug,Pennsylvania,360,501,19,770.1836
8/26/2020,Aug,Texas,1533,5407,229,2989.3823
8/26/2020,Aug,Utah,437,407,4,915.8599
8/26/2020,Aug,Washington,677,24,9,1369.9159
8/27/2020,Aug,Arizona,496,680,33,1027.482
8/27/2020,Aug,California,1941,4430,143,3761.2775
8/27/2020,Aug,Colorado,925,193,9,1839.1071
8/27/2020,Aug,Florida,993,3269,139,1967.7563
8/27/2020,Aug,Georgia,1973,2484,82,3821.8183
8/27/2020,Aug,Illinois,1769,1707,23,3435.8707
8/27/2020,Aug,Maryland,289,577,5,635.8587
8/27/2020,Aug,Massachuttces,426,368,20,895.049
8/27/2020,Aug,Michigan,672,863,16,1360.4564
8/27/2020,Aug,Minniesota,525,1154,13,1082.3471
8/27/2020,Aug,Nevada,472,554,21,982.0764
8/27/2020,Aug,New Jersey,444,307,7,929.1032
8/27/2020,Aug,New York,862,791,4,1719.9174
8/27/2020,Aug,North Carolina,645,2091,24,1309.3751
8/27/2020,Aug,Pennsylvania,441,620,11,923.4275
8/27/2020,Aug,Texas,2057,5600,265,3980.7379
8/27/2020,Aug,Utah,482,383,2,1000.9954
8/27/2020,Aug,Washington,732,456,4,1473.9704
8/28/2020,Aug,Arizona,496,519,49,1027.482
8/28/2020,Aug,California,1996,5329,140,3865.332
8/28/2020,Aug,Colorado,912,350,0,1814.5124
8/28/2020,Aug,Florida,944,3815,88,1875.0532
8/28/2020,Aug,Georgia,2208,2298,78,4266.4148
8/28/2020,Aug,Illinois,1897,2434,20,3678.0339
8/28/2020,Aug,Maryland,252,601,14,565.8584
8/28/2020,Aug,Massachuttces,457,460,16,953.6979
8/28/2020,Aug,Michigan,597,793,6,1218.5639
8/28/2020,Aug,Minniesota,487,850,4,1010.4549
8/28/2020,Aug,Nevada,453,632,16,946.1303
8/28/2020,Aug,New Jersey,485,358,10,1006.6711
8/28/2020,Aug,New York,854,636,3,1704.7822
8/28/2020,Aug,North Carolina,624,1415,22,1269.6452
8/28/2020,Aug,Pennsylvania,330,835,20,713.4266
8/28/2020,Aug,Texas,2340,4031,196,4516.1456
8/28/2020,Aug,Utah,462,391,4,963.1574
8/28/2020,Aug,Washington,713,542,10,1438.0243
8/29/2020,Aug,Arizona,448,629,29,936.6708
8/29/2020,Aug,California,1862,4981,144,3611.8174
8/29/2020,Aug,Colorado,848,430,8,1693.4308
8/29/2020,Aug,Florida,936,3197,150,1859.918
8/29/2020,Aug,Georgia,1983,2386,105,3840.7373
8/29/2020,Aug,Illinois,1833,1880,11,3556.9523
8/29/2020,Aug,Maryland,265,630,10,590.4531
8/29/2020,Aug,Massachuttces,414,446,13,872.3462
8/29/2020,Aug,Michigan,610,0,0,1243.1586
8/29/2020,Aug,Minniesota,476,1017,4,989.644
8/29/2020,Aug,Nevada,401,609,15,847.7515
8/29/2020,Aug,New Jersey,469,349,3,976.4007
8/29/2020,Aug,New York,798,635,7,1598.8358
8/29/2020,Aug,North Carolina,635,2585,31,1290.4561
8/29/2020,Aug,Pennsylvania,337,843,16,726.6699
8/29/2020,Aug,Texas,2301,4762,154,4442.3615
8/29/2020,Aug,Utah,439,458,0,919.6437
8/29/2020,Aug,Washington,717,598,15,1445.5919
8/30/2020,Aug,Arizona,454,374,23,948.0222
8/30/2020,Aug,California,1981,6070,71,3836.9535
8/30/2020,Aug,Colorado,806,268,0,1613.971
8/30/2020,Aug,Florida,752,2583,14,1511.8084
8/30/2020,Aug,Georgia,1550,1215,28,3021.5446
8/30/2020,Aug,Illinois,1865,1992,11,3617.4931
8/30/2020,Aug,Maryland,266,497,6,592.345
8/30/2020,Aug,Massachuttces,432,199,13,906.4004
8/30/2020,Aug,Michigan,512,1390,36,1057.7524
8/30/2020,Aug,Minniesota,426,932,2,895.049
8/30/2020,Aug,Nevada,456,447,0,951.806
8/30/2020,Aug,New Jersey,466,291,4,970.725
8/30/2020,Aug,New York,818,698,8,1636.6738
8/30/2020,Aug,North Carolina,563,1051,9,1154.2393
8/30/2020,Aug,Pennsylvania,327,670,2,707.7509
8/30/2020,Aug,Texas,2166,3824,90,4186.955
8/30/2020,Aug,Utah,406,448,0,857.211
8/30/2020,Aug,Washington,681,1019,0,1377.4835
8/31/2020,Aug,Arizona,477,174,0,991.5359
8/31/2020,Aug,California,1999,4176,28,3871.0077
8/31/2020,Aug,Colorado,923,182,0,1835.3233
8/31/2020,Aug,Florida,944,1885,68,1875.0532
8/31/2020,Aug,Georgia,2062,1498,28,3990.1974
8/31/2020,Aug,Illinois,2023,1668,7,3916.4133
8/31/2020,Aug,Maryland,287,458,3,632.0749
8/31/2020,Aug,Massachuttces,430,304,11,902.6166
8/31/2020,Aug,Michigan,664,499,5,1345.3212
8/31/2020,Aug,Minniesota,502,675,1,1038.8334
8/31/2020,Aug,Nevada,455,320,3,949.9141
8/31/2020,Aug,New Jersey,477,349,8,991.5359
8/31/2020,Aug,New York,887,656,1,1767.2149
8/31/2020,Aug,North Carolina,606,1186,10,1235.591
8/31/2020,Aug,Pennsylvania,423,521,0,889.3733
8/31/2020,Aug,Texas,2393,2615,26,4616.4163
8/31/2020,Aug,Utah,474,253,0,985.8602
8/31/2020,Aug,Washington,685,0,0,1385.0511
9/1/2020,Sep,Arizona,446,507,15,932.887
9/1/2020,Sep,California,1925,3712,85,3731.0071
9/1/2020,Sep,Colorado,832,201,6,1663.1604
9/1/2020,Sep,Florida,810,7569,190,1621.5386
9/1/2020,Sep,Georgia,1829,2226,101,3549.3847
9/1/2020,Sep,Illinois,1769,1492,38,3435.8707
9/1/2020,Sep,Maryland,258,614,6,577.2098
9/1/2020,Sep,Massachuttces,391,355,4,828.8325
9/1/2020,Sep,Michigan,574,795,14,1175.0502
9/1/2020,Sep,Minniesota,450,491,6,940.4546
9/1/2020,Sep,Nevada,364,405,8,777.7512
9/1/2020,Sep,New Jersey,473,330,5,983.9683
9/1/2020,Sep,New York,753,754,3,1513.7003
9/1/2020,Sep,North Carolina,463,2111,39,965.0493
9/1/2020,Sep,Pennsylvania,371,770,18,790.9945
9/1/2020,Sep,Texas,1489,4364,145,2906.1387
9/1/2020,Sep,Utah,432,296,2,906.4004
9/1/2020,Sep,Washington,747,315,10,1502.3489
9/2/2020,Sep,Arizona,476,519,21,989.644
9/2/2020,Sep,California,1931,4255,145,3742.3585
9/2/2020,Sep,Colorado,813,351,4,1627.2143
9/2/2020,Sep,Florida,890,2402,130,1772.8906
9/2/2020,Sep,Georgia,1921,1916,62,3723.4395
9/2/2020,Sep,Illinois,1796,2128,27,3486.952
9/2/2020,Sep,Maryland,260,456,5,580.9936
9/2/2020,Sep,Massachuttces,414,0,0,872.3462
9/2/2020,Sep,Michigan,637,648,14,1294.2399
9/2/2020,Sep,Minniesota,475,730,10,987.7521
9/2/2020,Sep,Nevada,373,239,23,794.7783
9/2/2020,Sep,New Jersey,462,305,11,963.1574
9/2/2020,Sep,New York,791,708,5,1585.5925
9/2/2020,Sep,North Carolina,481,1129,38,999.1035
9/2/2020,Sep,Pennsylvania,355,816,21,760.7241
9/2/2020,Sep,Texas,1906,4334,189,3695.061
9/2/2020,Sep,Utah,446,419,1,932.887
9/2/2020,Sep,Washington,708,304,16,1428.5648
9/3/2020,Sep,Arizona,529,1092,65,1089.9147
9/3/2020,Sep,California,2086,5125,164,4035.603
9/3/2020,Sep,Colorado,949,244,0,1884.5127
9/3/2020,Sep,Florida,984,3571,149,1950.7292
9/3/2020,Sep,Georgia,2004,2675,73,3880.4672
9/3/2020,Sep,Illinois,2052,1360,24,3971.2784
9/3/2020,Sep,Maryland,291,693,12,639.6425
9/3/2020,Sep,Massachuttces,465,415,17,968.8331
9/3/2020,Sep,Michigan,676,774,10,1368.024
9/3/2020,Sep,Minniesota,540,1038,7,1110.7256
9/3/2020,Sep,Nevada,500,351,27,1035.0496
9/3/2020,Sep,New Jersey,561,378,7,1150.4555
9/3/2020,Sep,New York,1006,889,7,1992.351
9/3/2020,Sep,North Carolina,649,1656,24,1316.9427
9/3/2020,Sep,Pennsylvania,443,1160,20,927.2113
9/3/2020,Sep,Texas,2370,3680,221,4572.9026
9/3/2020,Sep,Utah,495,504,4,1025.5901
9/3/2020,Sep,Washington,800,438,4,1602.6196
9/4/2020,Sep,Arizona,536,728,41,1103.158
