Airport,City,Abbrev,State,IATA
Aberdeen Regional Airport,Aberdeen,SD,South Dakota,ABR
Abilene Regional Airport,Abilene,TX,Texas,ABI
Abraham Lincoln Capital Airport,Springfield,IL,Illinois,SPI
Akron-Canton Regional Airport,Akron / Canton,OH,Ohio,CAK
Albany International Airport,Albany,NY,New York,ALB
Albert J. Ellis Airport,Jacksonville,NC,North Carolina,OAJ
Albuquerque International Sunport,Albuquerque,NM,New Mexico,ABQ
Alexandria International Airport,Alexandria,LA,Louisiana,AEX
Alpena County Regional Airport,Alpena,MI,Michigan,APN
Aniak Airport,Aniak,AL,Alaska,ANI
Appleton International Airport,Appleton,WI,Wisconsin,ATW
Arcata Airport,Arcata / Eureka,CA,California,ACV
Arnold Palmer Regional Airport,Latrobe,PA,Pennsylvania,LBE
Asheville Regional Airport,Asheville,NC,North Carolina,AVL
Aspen-Pitkin County Airport,Aspen,CO,Colorado,ASE
Atlantic City International Airport,Atlantic City,NJ,New Jersey,ACY
Augusta Regional Airport,Augusta,GA,Georgia,AGS
Austin-Bergstrom International Airport,Austin,TX,Texas,AUS
Baltimore/Washington International Thurgood Marshall Airport,Baltimore / Glen Burnie,MD,Maryland,BWI
Bangor International Airport,Bangor,ME,Maine,BGR
Barkley Regional Airport,Paducah,KY,Kentucky,PAH
Barnstable Municipal Airport,Hyannis,MA,Massachuttces,HYA
Baton Rouge Metropolitan Airport,Baton Rouge,LA,Louisiana,BTR
Bellingham International Airport,Bellingham,WA,Washington,BLI
Bemidji Regional Airport,Bemidji,MN,Minniesota,BJI
Bert Mooney Airport,Butte,MT,Montana,BTM
Bethel Airport,Bethel,AL,Alaska,BET
Bill and Hillary Clinton National Airport,Little Rock,AR,Arkansas,LIT
Billings Logan International Airport,Billings,MT,Montana,BIL
Birmingham–Shuttlesworth International Airport,Birmingham,AL,Alabama,BHM
Bishop International Airport,Flint,MI,Michigan,FNT
Bismarck Municipal Airport,Bismarck,ND,North Dakota,BIS
Block Island State Airport,Block Island / New Shoreham,RI,Rhode Island,BID
Blue Grass Airport,Lexington,KY,Kentucky,LEX
Bob Hope Airport,Burbank,CA,California,BUR
Boise Airport,Boise,ID,Idaho,BOI
Boulder City Municipal Airport,Boulder City,NV,Nevada,BLD
Bozeman Yellowstone International Airport,Bozeman,MT,Montana,BZN
Bradley International Airport,Hartford,CT,Connecticut,BDL
Brainerd Lakes Regional Airport,Brainerd,MN,Minniesota,BRD
Brownsville/South Padre Island International Airport,Brownsville,TX,Texas,BRO
Brunswick Golden Isles Airport,Brunswick,GA,Georgia,BQK
Buffalo Niagara International Airport,Buffalo,NY,New York,BUF
Burlington International Airport,Burlington,VT,Vermont,BTV
Capital Region International Airport,Lansing,MI,Michigan,LAN
Casper/Natrona County International Airport,Casper,WY,Wyoming,CPR
Cedar City Regional Airport,Cedar City,UT,Utah,CDC
Central Illinois Regional Airport at Bloomington-Normal,Bloomington / Normal,IL,Illinois,BMI
Central Nebraska Regional Airport,Grand Island,NE,Nebraska,GRI
Central Wisconsin Airport,Mosinee,WI,Wisconsin,CWA
Charles M. Schulz–Sonoma County Airport,Santa Rosa,CA,California,STS
Charleston International Airport / Charleston AFB,Charleston,SC,South Carolina,CHS
Charlotte/Douglas International Airport,Charlotte,NC,North Carolina,CLT
Charlottesville–Albemarle Airport,Charlottesville,VA,Virginia,CHO
Chattanooga Metropolitan Airport,Chattanooga,TN,Tennessee,CHA
Cherry Capital Airport,Traverse City,MI,Michigan,TVC
Cheyenne Regional Airport,Cheyenne,WY,Wyoming,CYS
Chicago Midway International Airport,Chicago,IL,Illinois,MDW
Chicago O'Hare International Airport,Chicago,IL,Illinois,ORD
Chicago Rockford International Airport,Rockford,IL,Illinois,RFD
Chico Municipal Airport,Chico,CA,California,CIC
Chippewa County International Airport,Sault Ste. Marie,MI,Michigan,CIU
Chippewa Valley Regional Airport,Eau Claire,WI,Wisconsin,EAU
Cincinnati Municipal Lunken Airport,Cincinnati,OH,Ohio,LUK
Cincinnati/Northern Kentucky International Airport,Cincinnati / Covington,KY,Kentucky,CVG
City of Colorado Springs Municipal Airport,Colorado Springs,CO,Colorado,COS
Cleveland-Hopkins International Airport,Cleveland,OH,Ohio,CLE
Coastal Carolina Regional Airport,New Bern,NC,North Carolina,EWN
Columbia Metropolitan Airport,Columbia,SC,South Carolina,CAE
Columbia Regional Airport,Columbia,MO,Missouri,COU
Columbus Metropolitan Airport,Columbus,GA,Georgia,CSG
Concord Regional Airport,Concord,NC,North Carolina,USA
Corpus Christi International Airport,Corpus Christi / Kingsville,TX,Texas,CRP
Dallas Love Field,Dallas,TX,Texas,DAL
Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,Texas,DFW
Dane County Regional Airport,Madison,WI,Wisconsin,MSN
Daniel K. Inouye International Airport,"Honolulu , Oahu",HI,Hawaii,HNL
Daytona Beach International Airport,Daytona Beach,FL,Florida,DAB
Deadhorse Airport,Deadhorse / Prudhoe Bay,AL,Alaska,SCC
Del Norte County Airport,Crescent City,CA,California,CEC
Delta County Airport,Escanaba,MI,Michigan,ESC
Denver International Airport,Denver,CO,Colorado,DEN
Des Moines International Airport,Des Moines,IA,Iowa,DSM
Destin–Fort Walton Beach Airport / Eglin Air Force Base,Valparaiso,FL,Florida,VPS
Detroit Metropolitan Wayne County Airport,Detroit / Romulus,MI,Michigan,DTW
Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,North Dakota,DIK
Dillingham Airport,Dillingham,AL,Alaska,DLG
Dothan Regional Airport,Dothan,AL,Alabama,DHN
Dubuque Regional Airport,Dubuque,IA,Iowa,DBQ
Duluth International Airport,Duluth,MN,Minniesota,DLH
Durango-La Plata County Airport,Durango,CO,Colorado,DRO
Eagle County Regional Airport,Eagle,CO,Colorado,EGE
East Texas Regional Airport,Longview,TX,Texas,GGG
Easterwood Airport,College Station,TX,Texas,CLL
Edward G. Pitka Sr. Airport,Galena,AL,Alaska,GAL
El Paso International Airport,El Paso,TX,Texas,ELP
Elko Regional Airport,Elko,NV,Nevada,EKO
Elmira/Corning Regional Airport,Elmira / Corning,NY,New York,ELM
Eppley Airfield,Omaha,NE,Nebraska,OMA
Erie International Airport,Erie,PA,Pennsylvania,ERI
Eugene Airport,Eugene,OR,Oregon,EUG
Evansville Regional Airport,Evansville,IN,Indiana,EVV
Fairbanks International Airport,Fairbanks,AL,Alaska,FAI
Falls International Airport,International Falls,MN,Minniesota,INL
Fayetteville Regional Airport,Fayetteville,NC,North Carolina,FAY
Flagstaff Pulliam Airport,Flagstaff,AZ,Arizona,FLG
Florence Regional Airport,Florence,SC,South Carolina,FLO
Ford Airport,Iron Mountain / Kingsford,MI,Michigan,IMT
Fort Lauderdale–Hollywood International Airport,Fort Lauderdale,FL,Florida,FLL
Fort Smith Regional Airport,Fort Smith,AR,Arkansas,FSM
Fort Wayne International Airport,Fort Wayne,IN,Indiana,FWA
Fresno Yosemite International Airport,Fresno,CA,California,FAT
Friday Harbor Airport,Friday Harbor,WA,Washington,FRD
Friedman Memorial Airport,Hailey,ID,Idaho,SUN
Gainesville Regional Airport,Gainesville,FL,Florida,GNV
Garden City Regional Airport,Garden City,KA,Kansas,GCK
Gen. Edward Lawrence Logan International Airport,Boston,MA,Massachuttces,BOS
General Mitchell International Airport,Milwaukee,WI,Wisconsin,MKE
General Wayne A. Downing Peoria International Airport,Peoria,IL,Illinois,PIA
George Bush Intercontinental Airport,Houston,TX,Texas,IAH
Gerald R. Ford International Airport,Grand Rapids,MI,Michigan,GRR
Gillette-Campbell County Airport,Gillette,WY,Wyoming,GCC
Glacier Park International Airport,Kalispell,MT,Montana,FCA
Golden Triangle Regional Airport,Columbus / West Point / Starkville,MS,Mississippi,GTR
Grand Canyon National Park Airport,Grand Canyon / Tusayan,AZ,Arizona,GCN
Grand Canyon West Airport,Peach Springs,AZ,Arizona,GCW
Grand Forks International Airport,Grand Forks,ND,North Dakota,GFK
Grand Junction Regional Airport,Grand Junction,CO,Colorado,GJT
Great Falls International Airport,Great Falls,MT,Montana,GTF
Greater Binghamton Airport,Binghamton,NY,New York,BGM
Greater Rochester International Airport,Rochester,NY,New York,ROC
Green Bay–Austin Straubel International Airport,Green Bay,WI,Wisconsin,GRB
Greenbrier Valley Airport,Lewisburg,WV,West Virginia,LWB
Greenville-Spartanburg International Airport,Greenville,SC,South Carolina,GSP
Gulfport–Biloxi International Airport,Gulfport / Biloxi,MS,Mississippi,GPT
Gunnison-Crested Butte Regional Airport,Gunnison,CO,Colorado,GUC
Hagerstown Regional Airport,Hagerstown,MD,Maryland,HGR
Harrisburg International Airport,Harrisburg / Middletown,PA,Pennsylvania,MDT
Hartsfield–Jackson Atlanta International Airport,Atlanta,GA,Georgia,ATL
Hector International Airport,Fargo,ND,North Dakota,FAR
Helena Regional Airport,Helena,MT,Montana,HLN
Hilo International Airport,"Hilo , Hawaii",HI,Hawaii,ITO
Hilton Head Airport,Hilton Head Island,SC,South Carolina,HHH
Homer Airport,Homer,AL,Alaska,HOM
Houghton County Memorial Airport,Hancock / Calumet,MI,Michigan,CMX
Huntsville International Airport,Huntsville,AL,Alabama,HSV
Idaho Falls Regional Airport,Idaho Falls,ID,Idaho,IDA
Indianapolis International Airport,Indianapolis,IN,Indiana,IND
Ithaca Tompkins Regional Airport,Ithaca,NY,New York,ITH
Jack Brooks Regional Airport,Beaumont / Port Arthur,TX,Texas,BPT
Jackson Hole Airport,Jackson,WY,Wyoming,JAC
Jackson–Evers International Airport,Jackson,MS,Mississippi,JAN
Jacksonville International Airport,Jacksonville,FL,Florida,JAX
James M. Cox Dayton International Airport,Dayton,OH,Ohio,DAY
John F. Kennedy International Airport,New York,NY,New York,JFK
John Glenn Columbus International Airport,Columbus,OH,Ohio,CMH
John Wayne Airport,Santa Ana,CA,California,SNA
Joplin Regional Airport,Joplin,MO,Missouri,JLN
Juneau International Airport,Juneau,AL,Alaska,JNU
Kahului Airport,"Kahului , Maui",HI,Hawaii,OGG
Kalamazoo/Battle Creek International Airport,Kalamazoo / Battle Creek,MI,Michigan,AZO
Kansas City International Airport,Kansas City,MO,Missouri,MCI
Kenai Municipal Airport,Kenai,AL,Alaska,ENA
Ketchikan International Airport,Ketchikan,AL,Alaska,KTN
Key West International Airport,Key West,FL,Florida,EYW
Killeen-Fort Hood Regional Airport / Robert Gray Army Airfield,Fort Hood / Killeen / Temple,TX,Texas,GRK
King County International Airport,Seattle,WA,Washington,BFI
King Salmon Airport,King Salmon,AL,Alaska,AKN
Knox County Regional Airport,Rockland,ME,Maine,RKD
Kodiak Airport,Kodiak,AL,Alaska,ADQ
Kona International Airport at Keahole,"Kailua-Kona , Hawaii",HI,Hawaii,KOA
La Crosse Regional Airport,La Crosse,WI,Wisconsin,LSE
Lafayette Regional Airport,Lafayette,LA,Louisiana,LFT
LaGuardia Airport,New York,NY,New York,LGA
Lake Charles Regional Airport,Lake Charles,LA,Louisiana,LCH
Lake Hood Seaplane Base,Anchorage,AL,Alaska,
Lanai Airport,"Lanai City , Lanai",HI,Hawaii,LNY
Laredo International Airport,Laredo,TX,Texas,LRD
Laughlin/Bullhead International Airport,Bullhead City,AZ,Arizona,IFP
Lawton–Fort Sill Regional Airport,Lawton,OK,Oklahoma,LAW
Lea County Regional Airport,Hobbs,NM,New Mexico,HOB
Lebanon Municipal Airport,Lebanon,NH,New Hampshire,LEB
Lehigh Valley International Airport,Allentown,PA,Pennsylvania,ABE
Lewiston-Nez Perce County Airport,Lewiston,ID,Idaho,LWS
Lihue Airport,"Lihue , Kauai",HI,Hawaii,LIH
Lincoln Airport,Lincoln,NE,Nebraska,LNK
Long Beach Airport,Long Beach,CA,California,LGB
Long Island MacArthur Airport,Islip,NY,New York,ISP
Los Angeles International Airport,Los Angeles,CA,California,LAX
Louis Armstrong New Orleans International Airport,New Orleans,LA,Louisiana,MSY
Louisville International Airport,Louisville,KY,Kentucky,SDF
Lubbock Preston Smith International Airport,Lubbock,TX,Texas,LBB
Lynchburg Regional Airport,Lynchburg,VA,Virginia,LYH
Magic Valley Regional Airport,Twin Falls,ID,Idaho,TWF
Mammoth Yosemite Airport,Mammoth Lakes,CA,California,MMH
Manchester–Boston Regional Airport,Manchester,NH,New Hampshire,MHT
Manhattan Regional Airport,Manhattan,KA,Kansas,MHK
Martha's Vineyard Airport,Vineyard Haven,MA,Massachuttces,MVY
MBS International Airport,Saginaw,MI,Michigan,MBS
McAllen Miller International Airport,McAllen,TX,Texas,MFE
McCarran International Airport,Las Vegas,NV,Nevada,LAS
McClellan–Palomar Airport,Carlsbad,CA,California,CRQ
McGhee Tyson Airport,Knoxville,TN,Tennessee,TYS
Meadows Field,Bakersfield,CA,California,BFL
Melbourne International Airport,Melbourne,FL,Florida,MLB
Memphis International Airport,Memphis,TN,Tennessee,MEM
Merle K. Smith Airport,Cordova,AL,Alaska,CDV
Merrill Field,Anchorage,AL,Alaska,MRI
Miami International Airport,Miami,FL,Florida,MIA
MidAmerica St. Louis Airport / Scott Air Force Base,Belleville,IL,Illinois,BLV
Midland International Airport,Midland,TX,Texas,MAF
Minneapolis–St. Paul International Airport,Minneapolis,MN,Minniesota,MSP
Minot International Airport,Minot,ND,North Dakota,MOT
Missoula International Airport,Missoula,MT,Montana,MSO
Mobile Regional Airport,Mobile,AL,Alabama,MOB
Molokai Airport,"Kaunakakai , Molokai",HI,Hawaii,MKK
Monroe Regional Airport,Monroe,LA,Louisiana,MLU
Monterey Regional Airport,Monterey,CA,California,MRY
Montgomery Regional Airport,Montgomery,AL,Alabama,MGM
Montrose Regional Airport,Montrose,CO,Colorado,MTJ
Morgantown Municipal Airport,Morgantown,WV,West Virginia,MGW
Muskegon County Airport,Muskegon,MI,Michigan,MKG
Myrtle Beach International Airport,Myrtle Beach,SC,South Carolina,MYR
Nantucket Memorial Airport,Nantucket,MA,Massachuttces,ACK
Nashville International Airport,Nashville,TN,Tennessee,BNA
Newark Liberty International Airport,Newark,NJ,New Jersey,EWR
Newport News/Williamsburg International Airport,Newport News,VA,Virginia,PHF
Niagara Falls International Airport,Niagara Falls,NY,New York,IAG
Nome Airport,Nome,AL,Alaska,OME
Norfolk International Airport,Norfolk,VA,Virginia,ORF
Norman Y. Mineta San José International Airport,San Jose,CA,California,SJC
North Central West Virginia Airport,Clarksburg,WV,West Virginia,CKB
North Las Vegas Airport,Las Vegas / North Las Vegas,NV,Nevada,VGT
Northeast Florida Regional Airport,St. Augustine,FL,Florida,UST
Northern Maine Regional Airport at Presque Isle,Presque Isle,ME,Maine,PQI
Northwest Arkansas Regional Airport,Fayetteville,AR,Arkansas,XNA
Northwest Florida Beaches International Airport,Panama City Beach,FL,Florida,ECP
Oakland International Airport,Oakland,CA,California,OAK
Ogden-Hinckley Airport,Ogden,UT,Utah,OGD
Ontario International Airport,Ontario,CA,California,ONT
Orlando International Airport,Orlando,FL,Florida,MCO
Orlando Sanford International Airport,Orlando / Sanford,FL,Florida,SFB
Owensboro-Daviess County Regional Airport,Owensboro,KY,Kentucky,OWB
Page Municipal Airport,Page,AZ,Arizona,PGA
Palm Beach International Airport,West Palm Beach,FL,Florida,PBI
Palm Springs International Airport,Palm Springs,CA,California,PSP
Pangborn Memorial Airport,Wenatchee,WA,Washington,EAT
Pellston Regional Airport of Emmet County,Pellston,MI,Michigan,PLN
Pensacola International Airport,Pensacola,FL,Florida,PNS
Petersburg James A. Johnson Airport,Petersburg,AL,Alaska,PSG
Philadelphia International Airport,Philadelphia,PA,Pennsylvania,PHL
Phoenix Sky Harbor International Airport,Phoenix,AZ,Arizona,PHX
Phoenix–Mesa Gateway Airport,Mesa,AZ,Arizona,AZA
Piedmont Triad International Airport,Greensboro,NC,North Carolina,GSO
Pitt-Greenville Airport,Greenville,NC,North Carolina,PGV
Pittsburgh International Airport,Pittsburgh,PA,Pennsylvania,PIT
Plattsburgh International Airport,Plattsburgh,NY,New York,PBG
Pocatello Regional Airport,Pocatello / Arbon Valley,ID,Idaho,PIH
Portland International Airport,Portland,OR,Oregon,PDX
Portland International Jetport,Portland,ME,Maine,PWM
Portsmouth International Airport at Pease,Portsmouth,NH,New Hampshire,PSM
Provincetown Municipal Airport,Provincetown,MA,Massachuttces,PVC
Provo Municipal Airport,Provo,UT,Utah,PVU
Pullman/Moscow Regional Airport,"Pullman / Moscow, Idaho",WA,Washington,PUW
Punta Gorda Airport,Punta Gorda,FL,Florida,PGD
Quad City International Airport,Moline,IL,Illinois,MLI
Quincy Regional Airport,Quincy,IL,Illinois,UIN
Raleigh-Durham International Airport,Raleigh,NC,North Carolina,RDU
Ralph Wien Memorial Airport,Kotzebue,AL,Alaska,OTZ
Range Regional Airport,Hibbing,MN,Minniesota,HIB
Rapid City Regional Airport,Rapid City,SD,South Dakota,RAP
Redding Municipal Airport,Redding,CA,California,RDD
Redmond Municipal Airport,Redmond,OR,Oregon,RDM
Reno/Tahoe International Airport,Reno,NV,Nevada,RNO
Republic Airport,Farmingdale,NY,New York,FRG
Rhinelander-Oneida County Airport,Rhinelander,WI,Wisconsin,RHI
Richmond International Airport,Richmond,VA,Virginia,RIC
Rick Husband Amarillo International Airport,Amarillo,TX,Texas,AMA
Rickenbacker International Airport,Columbus,OH,Ohio,LCK
Riverton Regional Airport,Riverton,WY,Wyoming,RIW
Roanoke Regional Airport,Roanoke,VA,Virginia,ROA
Rochester International Airport,Rochester,MN,Minniesota,RST
Rogue Valley International-Medford Airport,Medford,OR,Oregon,MFR
Ronald Reagan Washington National Airport,"Washington, D.C. / Arlington County",VA,Virginia,DCA
Roswell International Air Center,Roswell,NM,New Mexico,ROW
Sacramento International Airport,Sacramento,CA,California,SMF
Salisbury-Ocean City Wicomico Regional Airport,Salisbury,MD,Maryland,SBY
Salt Lake City International Airport,Salt Lake City,UT,Utah,SLC
San Angelo Regional Airport,San Angelo,TX,Texas,SJT
San Antonio International Airport,San Antonio,TX,Texas,SAT
San Diego International Airport,San Diego,CA,California,SAN
San Francisco International Airport,San Francisco,CA,California,SFO
San Luis Obispo County Regional Airport,San Luis Obispo,CA,California,SBP
Santa Barbara Municipal Airport,Santa Barbara,CA,California,SBA
Santa Fe Regional Airport,Santa Fe,NM,New Mexico,SAF
Santa Maria Public Airport,Santa Maria,CA,California,SMX
Sarasota–Bradenton International Airport,Sarasota / Bradenton,FL,Florida,SRQ
Savannah/Hilton Head International Airport,Savannah,GA,Georgia,SAV
Sawyer International Airport,Marquette / Gwinn,MI,Michigan,MQT
Seattle–Tacoma International Airport,Seattle / Tacoma ( SeaTac ),WA,Washington,SEA
Sheridan County Airport,Sheridan,WY,Wyoming,SHR
Shreveport Regional Airport,Shreveport,LA,Louisiana,SHV
Sidney–Richland Municipal Airport,Sidney,MT,Montana,SDY
Sioux Falls Regional Airport,Sioux Falls,SD,South Dakota,FSD
Sioux Gateway Airport,Sioux City,IA,Iowa,SUX
Sitka Rocky Gutierrez Airport,Sitka,AL,Alaska,SIT
Sloulin Field International Airport,Williston,ND,North Dakota,ISN
South Bend International Airport,South Bend,IN,Indiana,SBN
Southwest Florida International Airport,Fort Myers,FL,Florida,RSW
Southwest Georgia Regional Airport,Albany,GA,Georgia,ABY
Southwest Oregon Regional Airport,North Bend,OR,Oregon,OTH
Southwest Wyoming Regional Airport,Rock Springs,WY,Wyoming,RKS
Spokane International Airport,Spokane,WA,Washington,GEG
Springfield-Branson National Airport,Springfield,MO,Missouri,SGF
St. Cloud Regional Airport,St. Cloud,MN,Minniesota,STC
St. George Regional Airport,St. George,UT,Utah,SGU
St. Louis Lambert International Airport,St. Louis,MO,Missouri,STL
St. Mary's Airport,St. Mary's,AL,Alaska,KSM
St. Pete–Clearwater International Airport,St. Petersburg / Clearwater,FL,Florida,PIE
Stewart International Airport,Newburgh,NY,New York,SWF
Stockton Metropolitan Airport,Stockton,CA,California,SCK
Syracuse Hancock International Airport,Syracuse,NY,New York,SYR
Tallahassee International Airport,Tallahassee,FL,Florida,TLH
Tampa International Airport,Tampa,FL,Florida,TPA
Ted Stevens Anchorage International Airport,Anchorage,AL,Alaska,ANC
Texarkana Regional Airport,Texarkana,AR,Arkansas,TXK
The Eastern Iowa Airport,Cedar Rapids,IA,Iowa,CID
Theodore Francis Green State Airport,Providence / Warwick,RI,Rhode Island,PVD
Toledo Express Airport,Toledo,OH,Ohio,TOL
Topeka Regional Airport,Topeka,KA,Kansas,FOE
Trenton Mercer Airport,Trenton,NJ,New Jersey,TTN
Tri-Cities Airport,Pasco,WA,Washington,PSC
Tri-Cities Regional Airport,Bristol / Johnson City / Kingsport,TN,Tennessee,TRI
Tri-State Airport,Huntington,WV,West Virginia,HTS
Tucson International Airport,Tucson,AZ,Arizona,TUS
Tulsa International Airport,Tulsa,OK,Oklahoma,TUL
Tweed New Haven Regional Airport,New Haven,CT,Connecticut,HVN
Tyler Pounds Regional Airport,Tyler,TX,Texas,TYR
Unalakleet Airport,Unalakleet,AL,Alaska,UNK
Unalaska Airport,Unalaska,AL,Alaska,DUT
University of Illinois - Willard Airport,Champaign / Urbana,IL,Illinois,CMI
University Park Airport,State College,PA,Pennsylvania,SCE
Valdez Airport,Valdez,AL,Alaska,VDZ
Valdosta Regional Airport,Valdosta,GA,Georgia,VLD
Valley International Airport,Harlingen,TX,Texas,HRL
Waco Regional Airport,Waco,TX,Texas,ACT
Walla Walla Regional Airport,Walla Walla,WA,Washington,ALW
Washington Dulles International Airport,"Washington, D.C. / Dulles / Chantilly",VA,Virginia,IAD
Waterloo Regional Airport,Waterloo,IA,Iowa,ALO
Watertown International Airport,Watertown,NY,New York,ART
Westchester County Airport,White Plains,NY,New York,HPN
Westerly State Airport,Westerly,RI,Rhode Island,WST
Wichita Dwight D. Eisenhower National Airport,Wichita,KA,Kansas,ICT
Wichita Falls Municipal Airport / Sheppard Air Force Base,Wichita Falls,TX,Texas,SPS
Wiley Post–Will Rogers Memorial Airport,Barrow,AL,Alaska,BRW
Wilkes-Barre/Scranton International Airport,Wilkes-Barre / Scranton,PA,Pennsylvania,AVP
Will Rogers World Airport,Oklahoma City,OK,Oklahoma,OKC
William P. Hobby Airport,Houston,TX,Texas,HOU
William R. Fairchild International Airport,Port Angeles,WA,Washington,CLM
Williamson County Regional Airport,Marion,IL,Illinois,MWA
Williamsport Regional Airport,Williamsport,PA,Pennsylvania,IPT
Wilmington Airport,Wilmington,DE,Delaware,ILG
Wilmington International Airport,Wilmington,NC,North Carolina,ILM
Worcester Regional Airport,Worcester,MA,Massachuttces,ORH
Wrangell Airport,Wrangell,AL,Alaska,WRG
Yakima Air Terminal,Yakima,WA,Washington,YKM
Yakutat Airport,Yakutat,AL,Alaska,YAK
Yampa Valley Airport,Hayden,CO,Colorado,HDN
Yeager Airport,Charleston,WV,West Virginia,CRW
Yellowstone Regional Airport,Cody,WY,Wyoming,COD
Youngstown-Warren Regional Airport,Youngstown / Warren,OH,Ohio,YNG
Yuma International Airport,Yuma,AZ,Arizona,YUM
